"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159594",0013500500564184,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4184",-37.7975881059,144.9287828019,19/JUL/18 02:34:50.784865000 AM,"Street Light","A028394","45 DERBY STREET",,,,
"0000000012159601",0013500500562A17,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2a17",-37.7979928853,144.9291496692,19/JUL/18 02:34:50.786164000 AM,"Street Light","A134929","61 DERBY STREET",,,,
"0000000012159392",0013500500564E30,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e30",-37.7890016048,144.9295971862,19/JUL/18 02:34:50.790032000 AM,"Street Light","A028425","13 EASTWOOD STREET",,,,
"0000000012159400",0013500500564D50,"Discovered","fdc5:31e4:14e:96:213:5005:56:4d50",-37.7888618996,144.9302131597,19/JUL/18 02:34:50.791495000 AM,"Street Light","A028568","11 EASTWOOD STREET",,,,
"0000000012159555",0013500500562866,"Discovered","fdc5:31e4:14e:96:213:5005:56:2866",-37.7905371222,144.9299517983,19/JUL/18 02:34:50.795242000 AM,"Street Light","A123647","51 EASTWOOD STREET",,,,
"0000000012159606",0013500500564171,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4171",-37.7934258634,144.9306456168,19/JUL/18 02:34:50.796710000 AM,"Street Light","A142920","127 EASTWOOD STREET",,,,
"0000000012159522",001350050056348C,"Discovered","fdc5:31e4:14e:2d:213:5005:56:348c",37.7955903476,144.931507369,19/JUL/18 02:34:50.797990000 AM,"Street Light","A026939","151 EASTWOOD STREET",,,,
"0000000012159420",0013500500561BD0,"Discovered","fdc5:31e4:14e:2d:213:5005:56:1bd0",37.7957437514,144.931417927,19/JUL/18 02:34:50.799241000 AM,"Street Light","A026940","153 EASTWOOD STREET",,,,
"0000000012159496",001350050056303F,"Discovered","fdc5:31e4:14e:2d:213:5005:56:303f",-37.7959484408,144.9316291283,19/JUL/18 02:34:50.813990000 AM,"Street Light","A026941","161 EASTWOOD STREET",,,,
"0000000012159529",0013500500563061,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3061",-37.7963919053,144.9316848761,19/JUL/18 02:34:50.816990000 AM,"Street Light","A097497","167 EASTWOOD STREET",,,,
"0000000012159427",0013500500564E2E,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4e2e",-37.7964233299,144.9319861328,19/JUL/18 02:34:50.822170000 AM,"Street Light","A026949","10 ELIZABETH STREET",,,,
"0000000012159535",00135005005634BB,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34bb",-37.7966909651,144.9326808437,19/JUL/18 02:34:50.826589000 AM,"Street Light","A128964","1 ELIZABETH STREET",,,,
"0000000012159498",0013500500562885,"Discovered","fdc5:31e4:14e:2d:213:5005:56:2885",-37.7970260628,144.9327997307,19/JUL/18 02:34:50.828785000 AM,"Street Light","A030851","9 ELIZABETH STREET",,,,
"0000000012159500",0013500500563041,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3041",-37.7973017144,144.9328962789,19/JUL/18 02:34:50.830221000 AM,"Street Light","A030852","9 ELIZABETH STREET",,,,
"0000000012159497",00135005005634B3,"Discovered","fdc5:31e4:14e:2d:213:5005:56:34b3",-37.7978420944,144.9330811187,19/JUL/18 02:34:50.831738000 AM,"Street Light","A030854","31 ELIZABETH STREET",,,,
"0000000012159537",001350050056349F,"Discovered","fdc5:31e4:14e:2d:213:5005:56:349f",-37.7981549212,144.9331916465,19/JUL/18 02:34:50.833176000 AM,"Street Light","A030855","39 ELIZABETH STREET",,,,
"0000000012159506",00135005005628BB,"Discovered","fdc5:31e4:14e:2d:213:5005:56:28bb",-37.7984124929,144.9332855101,19/JUL/18 02:34:50.837369000 AM,"Street Light","A030856","43 ELIZABETH STREET",,,,
